
Mo,Zo,Age,Mass,logL,logTe
 85.00,0.020, 3.349644e+06,  3.9420, 4.519, 4.650
 85.00,0.020, 3.382880e+06,  3.7487, 4.488, 4.666
 85.00,0.020, 3.404364e+06,  3.6360, 4.534, 4.709
 85.00,0.020, 3.411808e+06,  3.5989, 4.599, 4.749
 85.00,0.020, 3.425154e+06,  3.5348, 4.779, 4.772
 85.00,0.020, 3.431635e+06,  3.5046, 4.882, 4.767
 85.00,0.020, 3.433290e+06,  3.4970, 4.914, 4.755
 85.00,0.020, 3.433701e+06,  3.4952, 4.920, 4.749
 85.00,0.020, 3.433934e+06,  3.4941, 4.927, 4.745
 85.00,0.020, 3.434090e+06,  3.4934, 4.932, 4.743
 85.00,0.020, 3.434571e+06,  3.4912, 4.951, 4.738
 60.00,0.020, 3.000228e+04, 59.9806, 5.728, 4.683
 60.00,0.020, 4.816366e+05, 59.7622, 5.754, 4.671
 60.00,0.020, 1.041983e+06, 59.3675, 5.789, 4.659
 60.00,0.020, 1.531209e+06, 58.8459, 5.821, 4.644
 60.00,0.020, 1.965842e+06, 58.1114, 5.849, 4.623
 60.00,0.020, 2.353233e+06, 57.0588, 5.876, 4.594
 60.00,0.020, 2.693381e+06, 55.5756, 5.900, 4.553
 60.00,0.020, 2.917123e+06, 54.1263, 5.916, 4.498
 60.00,0.020, 3.130306e+06, 52.3345, 5.933, 4.410
 60.00,0.020, 3.256937e+06, 51.1348, 5.945, 4.316
 60.00,0.020, 3.440502e+06, 48.1880, 5.968, 4.028
 60.00,0.020, 3.445769e+06, 47.9954, 5.976, 4.049
 60.00,0.020, 3.446927e+06, 47.9597, 5.987, 4.078
 60.00,0.020, 3.447791e+06, 47.9398, 5.993, 4.141
 60.00,0.020, 3.448902e+06, 47.9173, 5.991, 4.098
 60.00,0.020, 3.449538e+06, 47.8979, 5.987, 4.038
 60.00,0.020, 3.449908e+06, 47.8794, 5.982, 3.984
 60.00,0.020, 3.450120e+06, 47.8601, 5.980, 3.924
 60.00,0.020, 3.450385e+06, 47.8043, 5.975, 3.856
 60.00,0.020, 3.451828e+06, 47.2205, 5.972, 3.804
 60.00,0.020, 3.453702e+06, 45.5766, 6.052, 3.781
 60.00,0.020, 3.463966e+06, 34.5348, 6.087, 4.284
 60.00,0.020, 3.479551e+06, 33.9114, 6.081, 4.306
 60.00,0.020, 3.492567e+06, 33.3908, 6.078, 4.311
 60.00,0.020, 3.506461e+06, 32.8350, 6.073, 4.356
 60.00,0.020, 3.520396e+06, 32.2776, 6.064, 4.411
 60.00,0.020, 3.535150e+06, 31.6874, 6.050, 4.464
 60.00,0.020, 3.550724e+06, 31.0644, 6.026, 4.522
 60.00,0.020, 3.566298e+06, 30.4415, 5.998, 4.565
 60.00,0.020, 3.581872e+06, 29.8185, 5.989, 4.585
 60.00,0.020, 3.597445e+06, 29.1955, 5.986, 4.648
 60.00,0.020, 3.605019e+06, 28.8015, 5.977, 4.424
 60.00,0.020, 3.620757e+06, 25.7933, 5.909, 4.381
 60.00,0.020, 3.652694e+06, 18.8476, 5.713, 4.464
 60.00,0.020, 3.675315e+06, 16.1042, 5.612, 4.503
 60.00,0.020, 3.699992e+06, 14.0366, 5.524, 4.536
 60.00,0.020, 3.725902e+06, 12.4624, 5.446, 4.563
 60.00,0.020, 3.755648e+06, 11.1127, 5.372, 4.590
 60.00,0.020, 3.789240e+06,  9.9617, 5.302, 4.615
 60.00,0.020, 3.828442e+06,  8.9394, 5.236, 4.643
 60.00,0.020, 3.846452e+06,  8.5514, 5.211, 4.656
 60.00,0.020, 3.865711e+06,  8.1806, 5.192, 4.674
 60.00,0.020, 3.876997e+06,  7.9813, 5.222, 4.709
 60.00,0.020, 3.881468e+06,  7.9058, 5.295, 4.758
 60.00,0.020, 3.885077e+06,  7.8461, 5.333, 4.775
 60.00,0.020, 3.885950e+06,  7.8318, 5.361, 4.780
 60.00,0.020, 3.886082e+06,  7.8296, 5.370, 4.783
 60.00,0.020, 3.886098e+06,  7.8294, 5.372, 4.784
 60.00,0.020, 3.886108e+06,  7.8292, 5.373, 4.785
 60.00,0.020, 3.886120e+06,  7.8290, 5.375, 4.786
